code_event,myEvent,onsets,response,rt
1,Orange,0.00510945369024,99,99.0
13,T,0.773725101724,-6,393.411795143
1,Orange,2.85606430867,99,99.0
12,T,3.5386848877,6,362.845704774
2,DodgerBlue,5.62389452709,99,99.0
12,T,5.72278341767,6,446.296950686
2,DodgerBlue,7.80805891845,99,99.0
12,T,8.52424589964,6,329.216238228
2,DodgerBlue,10.6093134342,99,99.0
13,T,10.7080660607,-6,379.59194649
1,Orange,12.7932010086,99,99.0
13,T,13.5092057317,-6,379.58702934
2,DodgerBlue,15.594400896,99,99.0
12,T,15.6933449142,6,512.955930899
2,DodgerBlue,17.778803076,99,99.0
12,T,18.5447860954,0,0.0
1,Orange,20.629945359,99,99.0
13,T,21.2622787165,-6,412.82214236
2,DodgerBlue,23.3474841365,99,99.0
12,T,23.9466554034,6,329.437338281
1,Orange,26.0317976174,99,99.0
13,T,26.7977644412,-6,312.779682688
2,DodgerBlue,28.8828063699,99,99.0
12,T,29.6488610251,6,312.840656843
1,Orange,31.7340644299,99,99.0
13,T,32.4664759614,-6,296.26280244
2,DodgerBlue,34.5518272995,99,99.0
12,T,35.2844199161,6,329.438956222
2,DodgerBlue,37.3696218834,99,99.0
12,T,38.1020593726,6,346.224897192
1,Orange,40.1872738361,99,99.0
12,T,40.7363851079,6,346.248752787
2,DodgerBlue,42.8215843082,99,99.0
12,T,43.4877734985,6,345.933815464
2,DodgerBlue,45.572648285,99,99.0
12,T,46.221902795,6,312.887781532
2,DodgerBlue,48.3072059228,99,99.0
13,T,48.8229030357,-6,346.217441489
2,DodgerBlue,50.9081778027,99,99.0
12,T,51.5573796182,6,346.177736414
2,DodgerBlue,53.6426211071,99,99.0
12,T,54.375164211,6,312.76589015
2,DodgerBlue,56.4602706177,99,99.0
13,T,57.126181054,-6,312.810789328
1,Orange,59.2113583026,99,99.0
13,T,60.027287594,-6,312.824789318
2,DodgerBlue,62.1124671012,99,99.0
12,T,62.9952514115,6,312.70243472
2,DodgerBlue,65.0804082269,99,99.0
12,T,65.8795683624,6,379.512388958
1,Orange,67.9648633699,99,99.0
13,T,68.7144846424,-6,278.971846681
2,DodgerBlue,70.7993033116,99,99.0
12,T,71.4651597332,6,312.82990193
2,DodgerBlue,73.5505471254,99,99.0
12,T,74.1661104067,6,412.872172194
2,DodgerBlue,76.2513751467,99,99.0
12,T,76.9339652536,6,346.065195394
2,DodgerBlue,79.0193465346,99,99.0
12,T,79.8016692225,6,329.46929906
1,Orange,81.8868543357,99,99.0
13,T,81.9858984799,-6,396.16464905
2,DodgerBlue,84.0710780323,99,99.0
12,T,84.6202162242,6,312.797643477
1,Orange,86.7054127449,99,99.0
13,T,87.4380086907,-6,312.760305242
1,Orange,89.5234568587,99,99.0
13,T,90.1558323846,-6,362.897036946
2,DodgerBlue,92.2409977444,99,99.0
12,T,92.8071458465,6,262.406647904
1,Orange,94.8919416708,99,99.0
13,T,95.7246179619,-6,296.038568602
2,DodgerBlue,97.809832311,99,99.0
12,T,98.5922630047,6,312.850915361
1,Orange,100.677749885,99,99.0
13,T,100.776553164,-6,462.791581289
1,Orange,102.861795233,99,99.0
13,T,103.394250245,-6,312.735565472
2,DodgerBlue,105.479656573,99,99.0
12,T,106.361922373,6,262.907921337
2,DodgerBlue,108.447247227,99,99.0
12,T,108.996394093,6,479.48003083
2,DodgerBlue,111.081569859,99,99.0
12,T,111.630726827,6,346.137754619
2,DodgerBlue,113.715882743,99,99.0
13,T,114.215882408,-6,311.953309341
2,DodgerBlue,116.300377499,99,99.0
12,T,116.872064834,6,390.173363849
2,DodgerBlue,118.951465028,99,99.0
12,T,119.683916493,6,396.067518624
1,Orange,121.769145717,99,99.0
13,T,121.868219669,-6,412.676106673
1,Orange,123.953364301,99,99.0
13,T,124.635748487,-6,296.150138252
2,DodgerBlue,126.721221328,99,99.0
12,T,127.236839178,6,296.078126295
1,Orange,129.321821522,99,99.0
12,T,130.071290521,6,329.384938348
1,Orange,132.156553192,99,99.0
13,T,132.78895116,-6,296.110649593
1,Orange,134.874199885,99,99.0
12,T,135.67341393,6,379.445405793
2,DodgerBlue,137.758708384,99,99.0
12,T,138.391191314,6,329.387079808
2,DodgerBlue,140.476474307,99,99.0
12,T,140.975969486,6,312.269633287
2,DodgerBlue,143.06079417,99,99.0
12,T,143.776603486,6,362.779668998
1,Orange,145.861838106,99,99.0
12,T,146.627796166,6,345.989622758
2,DodgerBlue,148.713186208,99,99.0
12,T,149.245418835,6,329.371031607
2,DodgerBlue,151.330684772,99,99.0
12,T,152.046646834,6,312.558347941
1,Orange,154.131848696,99,99.0
13,T,154.230656808,-6,412.773664226
2,DodgerBlue,156.315926399,99,99.0
12,T,157.131721026,6,346.156446263
1,Orange,159.217037796,99,99.0
13,T,159.816416704,-6,345.827370649
2,DodgerBlue,161.901553057,99,99.0
12,T,162.600664865,6,329.389912775
2,DodgerBlue,164.685841744,99,99.0
13,T,165.318670976,-6,312.41068535
1,Orange,167.40362231,99,99.0
13,T,168.102700611,-6,329.424011987
1,Orange,170.188098238,99,99.0
13,T,170.687087852,-6,362.720156321
2,DodgerBlue,172.77233793,99,99.0
12,T,173.504937169,6,379.310879856
2,DodgerBlue,175.590355217,99,99.0
12,T,176.205865437,6,396.098294295
1,Orange,178.291168195,99,99.0
13,T,179.123613422,-6,312.778431457
1,Orange,181.209031325,99,99.0
13,T,181.758138826,-6,312.620062148
1,Orange,183.843257846,99,99.0
13,T,184.392449126,-6,295.979798888
2,DodgerBlue,186.477713172,99,99.0
12,T,187.243458841,6,346.152858227
1,Orange,189.328672751,99,99.0
13,T,189.994867575,-6,312.429277808
1,Orange,192.079899552,99,99.0
13,T,192.61220832,-6,346.140729031
2,DodgerBlue,194.697800512,99,99.0
12,T,195.296671223,6,396.052369731
1,Orange,197.382060345,99,99.0
13,T,197.981003276,-6,312.725433148
2,DodgerBlue,200.066327122,99,99.0
12,T,200.848830994,6,479.416572372
